cluster;count;top_words;negative_score;sample;negativity_ratio;insight
98;108;['perfect', 'daunlod'];0;perfect;0.0;perfect / daunlod
115;96;['banner'];0;good;0.0;banner
116;55;[];0;good;0.0;
117;55;[];0;good;0.0;
118;61;[];0;very good;0.0;
119;51;['apps', 'luck', 'valo'];0;good apps;0.0;apps / luck / valo
120;71;[];0;nice;0.0;
121;59;['wark', 'extra', 'warking'];0;good;0.0;wark / extra / warking
122;52;['helpful', 'work', 'thank'];0;osm;0.0;helpful / work / thank
123;131;[];0;good;0.0;
124;53;[];0;good;0.0;
125;238;['amazing'];0;nice;0.0;amazing
126;148;[];0;nice;0.0;
127;200;['best', 'degine', 'thamnel', 'engaging', 'thanks', 'chhe', 'handson'];0;best app;0.0;best / degine / thamnel / engaging / thanks / chhe / handson
99;89;['amazing', 'personaly'];0;amazing;0.0;amazing / personaly
97;52;[];0;good;0.0;
66;61;['best'];0;best;0.0;best
80;53;[];0;good;0.0;
67;62;[];0;good;0.0;
68;93;['best'];0;best;0.0;best
69;51;[];0;good;0.0;
70;97;[];0;good;0.0;
71;59;[];0;good u;0.0;
72;102;[];0;nice;0.0;
73;57;[];0;good;0.0;
74;62;[];0;good;0.0;
75;83;[];0;very good;0.0;
76;78;['starting', 'start', 'likes', 'sooo', 'interesting', 'worj', 'alot'];0;i like it;0.0;starting / start / likes / sooo / interesting / worj / alot
77;51;[];0;good;0.0;
78;54;[];0;good;0.0;
79;59;[];0;good;0.0;
81;209;['excellent', 'best', 'indeed', 'ever', 'easy'];0;excellent app;0.0;excellent / best / indeed / ever / easy
96;150;['super', 'best'];0;super;0.0;super / best
82;149;['best'];0;good;0.0;best
83;75;['thank'];0;good;0.0;thank
84;60;[];0;good;0.0;
85;96;['simply'];0;nice;0.0;simply
86;55;[];0;good;0.0;
87;89;['amazing'];0;amazing;0.0;amazing
89;53;[];0;good app;0.0;
90;63;['super', 'outstanding', 'fabtastic', 'every'];0;outstanding;0.0;super / outstanding / fabtastic / every
91;97;[];0;good;0.0;
92;67;['amazing'];0;amazing;0.0;amazing
93;236;['loving', 'nuff', 'said', 'learning', 'everything', 'content', 'starting'];0;love it;0.0;loving / nuff / said / learning / everything / content / starting
94;141;['fine'];0;good;0.0;fine
95;81;['best', 'adding'];0;good;0.0;best / adding
129;53;['best'];0;best;0.0;best
